Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/08  06:00:00,204676853.39769328,204676853.39769343 
 01/08  07:00:00,226810075.39993402,226810075.39993435 
 01/08  08:00:00,232210985.01572666,231332887.31147164 
 01/08  09:00:00,237484925.58757216,231158663.34682116 
 01/08  10:00:00,232009995.5474911,218784402.3709171 
 01/08  11:00:00,222089014.46116996,202651204.00182945 
 01/08  12:00:00,221002924.46537346,197237416.6725815 
 01/08  13:00:00,214994407.92699164,189712627.9300158 
 01/08  14:00:00,207915492.53126356,186082659.7250921 
 01/08  15:00:00,204649019.0375881,194264682.02025428 
 01/08  16:00:00,210551451.00260058,204389133.35765857 
 01/08  17:00:00,239824733.8798321,236997897.31703752 
 01/08  18:00:00,304915052.4757998,304915052.47579974 
 01/08  19:00:00,309985973.0776835,309985973.0776834 
 01/08  20:00:00,301733010.4081473,301733010.4081473 
 01/08  21:00:00,300871842.17642385,300871842.176424 
 01/08  22:00:00,290078809.02378356,290078809.0237839 
 01/08  23:00:00,266769649.94195405,266769649.94195434 
 01/08  24:00:00,247414493.37053394,247414493.37053424 
 01/09  01:00:00,233034406.10406685,233034406.104067 
 01/09  02:00:00,231264335.969176,231264335.96917614 
 01/09  03:00:00,217755190.31438574,217755190.3143859 
 01/09  04:00:00,209733157.50262392,209733157.50262406 
 01/09  05:00:00,215078701.28136986,215078701.28137007 
 01/09  06:00:00,229228920.1833883,229228920.18338838 
 01/09  07:00:00,245975158.4878037,245975158.48780406 
 01/09  08:00:00,242490361.2295143,240991484.30256218 
 01/09  09:00:00,232043728.57635233,220425389.63706946 
 01/09  10:00:00,202058919.06765914,182263978.34420073 
 01/09  11:00:00,191189467.51139325,155933475.86115134 
 01/09  12:00:00,190193842.6870606,159960101.53467423 
 01/09  13:00:00,184177560.38017783,163404217.93108648 
 01/09  14:00:00,178930899.50063798,160872977.01175246 
 01/09  15:00:00,173464660.5320923,159106728.85572812 
 01/09  16:00:00,179570388.32332435,170423671.56694257 
 01/09  17:00:00,210345103.59515288,207376897.06078207 
 01/09  18:00:00,284512670.9395708,284512670.9395708 
 01/09  19:00:00,280577110.705111,280577110.70511097 
 01/09  20:00:00,270509633.4073751,270509633.4073751 
 01/09  21:00:00,264398818.52355435,264398818.52355456 
 01/09  22:00:00,252167101.36648482,252167101.36648512 
 01/09  23:00:00,228336911.07025722,228336911.07025743 
 01/09  24:00:00,210042270.15428272,210042270.154283 
 01/10  01:00:00,198997590.01102516,198997590.0110253 
 01/10  02:00:00,196813019.57663155,196813019.5766317 
 01/10  03:00:00,197645283.7250489,197645283.72504905 
