Date/Time,TEST_OFFICE_0:Zone Lights Electricity Energy [J](Hourly),TEST_OFFICE_0:Zone Electric Equipment Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT FAN:Fan Electricity Energy [J](Hourly),FAN VARIABLE VOLUME 1:Fan Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT COIL:Heating Coil Electricity Energy [J](Hourly),CHILLER ELECTRIC EIR 1:Chiller Electricity Energy [J](Hourly),BOILER HOT WATER 1:Boiler NaturalGas Energy [J](Hourly),PUMP VARIABLE SPEED 2:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 3:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 1:Pump Electricity Energy [J](Hourly) 
 07/19  14:00:00,4393309.616407061,2835681.661499103,0.0,196693.99299446825,0.0,2461059.39182746,0.0,52048.549097455434,632845.6860981442,0.0 
 07/19  15:00:00,4393309.616407061,2835681.661499103,0.0,243254.23752164413,0.0,2493508.2946205814,0.0,60528.40436448644,632850.2800865924,0.0 
 07/19  16:00:00,4393309.616407061,2835681.661499103,0.0,287831.8944176232,0.0,2493508.2946205814,0.0,65389.382219935986,632846.7918334608,0.0 
 07/19  17:00:00,4393309.616407061,2835681.661499103,0.0,305379.0763708152,0.0,2493508.2946205814,0.0,63767.63576059855,632827.4897881944,0.0 
 07/19  18:00:00,3417018.5905388244,2520605.921332536,0.0,241085.92430018148,0.0,2270403.3333249,0.0,48489.21598765509,632763.8283227216,0.0 
 07/19  19:00:00,2440727.5646705893,1890454.440999402,0.0,165300.22668027275,0.0,1316424.2964711508,0.0,28915.243898393423,632627.0126432495,0.0 
 07/19  20:00:00,2440727.5646705893,1890454.440999402,0.0,132993.50599376715,0.0,689872.4124813094,0.0,15665.232869332212,632561.9868522338,0.0 
 07/19  21:00:00,1464436.5388023537,1575378.7008328347,690426.3639427726,113242.33513580797,0.0,268345.7881107585,0.0,6272.244457833053,632522.8510027716,0.0 
 07/19  22:00:00,1464436.5388023537,1575378.7008328347,690426.3639427726,110785.63290393612,0.0,156136.1876738571,0.0,3767.3279232400473,632493.6214211608,0.0 
 07/19  23:00:00,488145.51293411787,1260302.960666268,0.0,110785.63290393612,0.0,104230.23050315124,0.0,2592.592789646476,632480.4630041312,0.0 
 07/19  24:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,85869.40377825302,0.0,2176.5510823309155,632480.2453857106,0.0 
 07/20  01:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,66797.31110452044,0.0,1713.0699668151337,632479.8560374009,0.0 
 07/20  02:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,44107.67645194283,0.0,1139.8335150106336,632475.1905186796,0.0 
 07/20  03:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,21430.21868549325,0.0,556.9515162121864,632467.1037274164,0.0 
 07/20  04:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,1974.6890792500653,0.0,51.451575590931924,210820.54364184442,0.0 
 07/20  05:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,28539.060110222104,0.0,745.4498550179826,527058.8835758385,0.0 
 07/20  06:00:00,488145.51293411787,1260302.960666268,0.0,110785.63290393612,0.0,85580.3565479964,0.0,2236.019743148425,632492.3584003614,0.0 
 07/20  07:00:00,488145.51293411787,1260302.960666268,961665.2926345761,110785.63290393612,5241575.251231777,140292.3490554491,0.0,3605.4657199428857,632514.9434160319,0.0 
 07/20  08:00:00,1464436.5388023537,1260302.960666268,690426.3639427726,110785.63290393612,245833.17570534334,213608.0999721614,0.0,5245.120302794559,632548.5965648511,0.0 
 07/20  09:00:00,4393309.616407061,2835681.661499103,86303.29549284658,119025.35074980574,0.0,472114.08676991746,0.0,10426.051483524901,632605.2089238863,0.0 
 07/20  10:00:00,4393309.616407061,2835681.661499103,0.0,142709.3107935304,0.0,1142615.5065116738,0.0,22280.144389137597,632695.3641046963,0.0 
 07/20  11:00:00,4393309.616407061,2835681.661499103,0.0,154463.17654956318,0.0,1632605.3711743571,0.0,29670.418718091758,632802.4942515662,0.0 
 07/20  12:00:00,4393309.616407061,2835681.661499103,0.0,163692.87599569585,0.0,2099956.570969397,0.0,36509.31762405821,632907.6369581602,0.0 
 07/20  13:00:00,4393309.616407061,2520605.921332536,0.0,167767.43912521392,0.0,2399621.090838409,0.0,41574.869934103575,632993.7750350996,0.0 
 07/20  14:00:00,4393309.616407061,2835681.661499103,0.0,211296.14539141953,0.0,2493508.2946205814,0.0,55024.73693388019,633025.8854993243,0.0 
 07/20  15:00:00,4393309.616407061,2835681.661499103,0.0,258649.36003219444,0.0,2493508.2946205814,0.0,64192.68462234569,633011.3505018236,0.0 
 07/20  16:00:00,4393309.616407061,2835681.661499103,0.0,306316.9994838233,0.0,2493508.2946205814,0.0,70842.39974186635,632996.0368240769,0.0 
 07/20  17:00:00,4393309.616407061,2835681.661499103,0.0,331314.04757691146,0.0,2493508.2946205814,0.0,70007.79333559299,632949.8967892868,0.0 
 07/20  18:00:00,3417018.5905388244,2520605.921332536,0.0,275318.09910492064,0.0,2493508.2946205814,0.0,56264.32954636934,632858.5824977021,0.0 
 07/20  19:00:00,2440727.5646705893,1890454.440999402,0.0,193897.28494665635,0.0,1703421.7042088308,0.0,36311.31748155545,632687.6350915084,0.0 
 07/20  20:00:00,2440727.5646705893,1890454.440999402,0.0,143870.8812607588,0.0,867560.3024628452,0.0,19912.266967903855,632564.5143074539,0.0 
 07/20  21:00:00,1464436.5388023537,1575378.7008328347,172606.59098569315,113612.29695833824,0.0,321169.8521704748,0.0,7755.613307880787,632508.5643770597,0.0 
